region,block,slot,observation,bank,cycles
0,7,0,23,7,12411
0,7,0,24,8,12287
0,7,0,25,9,12349
0,7,0,26,10,12284
0,7,0,27,11,12327
0,7,0,28,12,12293
0,7,0,29,13,12291
0,7,0,30,14,12304
0,7,0,31,15,12344
0,7,1,0,0,12476
0,7,1,1,1,12361
0,7,1,2,2,12305
0,7,1,3,3,12433
0,7,1,4,4,12335
0,7,1,5,5,12382
0,7,1,6,6,12405
0,7,1,7,7,12338
0,7,1,8,8,12381
0,7,1,9,9,12529
0,7,1,10,10,12389
0,7,1,11,11,12276
0,7,1,12,12,12409
0,7,1,13,13,12449
0,7,1,14,14,12345
0,7,1,15,15,12338
0,7,1,16,0,12371
0,7,1,17,1,12455
0,7,1,18,2,12454
0,7,1,19,3,12456
0,7,1,20,4,12457
0,7,1,21,5,12449
0,7,1,22,6,12385
0,7,1,23,7,12435
0,7,1,24,8,12420
0,7,1,25,9,12328
0,7,1,26,10,12359
0,7,1,27,11,12438
0,7,1,28,12,12400
0,7,1,29,13,12310
0,7,1,30,14,12345
0,7,1,31,15,12474
0,7,2,0,0,12346
0,7,2,1,1,12350
0,7,2,2,2,12286
0,7,2,3,3,12483
0,7,2,4,4,12468
0,7,2,5,5,12470
0,7,2,6,6,12449
0,7,2,7,7,12381
0,7,2,8,8,12424
0,7,2,9,9,12434
0,7,2,10,10,12418
0,7,2,11,11,12359
0,7,2,12,12,12295
0,7,2,13,13,12423
0,7,2,14,14,12330
0,7,2,15,15,12359
0,7,2,16,0,12512
0,7,2,17,1,12363
0,7,2,18,2,12415
0,7,2,19,3,12324
0,7,2,20,4,12321
0,7,2,21,5,12338
0,7,2,22,6,12341
0,7,2,23,7,12335
0,7,2,24,8,12351
0,7,2,25,9,12816
0,7,2,26,10,12404
0,7,2,27,11,12308
0,7,2,28,12,12297
0,7,2,29,13,12418
0,7,2,30,14,12311
0,7,2,31,15,12367
0,7,3,0,0,12214
0,7,3,1,1,12302
0,7,3,2,2,12290
0,7,3,3,3,12296
0,7,3,4,4,12290
0,7,3,5,5,12316
0,7,3,6,6,12366
0,7,3,7,7,12374
0,7,3,8,8,12314
0,7,3,9,9,12294
0,7,3,10,10,12333
0,7,3,11,11,12419
0,7,3,12,12,12361
0,7,3,13,13,12317
0,7,3,14,14,12332
0,7,3,15,15,12266
0,7,3,16,0,12335
0,7,3,17,1,15569
0,7,3,18,2,12311
0,7,3,19,3,12294
0,7,3,20,4,12318
0,7,3,21,5,12262
0,7,3,22,6,12367
0,7,3,23,7,12313
0,7,3,24,8,12376
0,7,3,25,9,12285
0,7,3,26,10,12315
0,7,3,27,11,12307
0,7,3,28,12,12324
0,7,3,29,13,12319
0,7,3,30,14,12281
0,7,3,31,15,12269
1,0,0,0,0,28235
1,0,0,1,1,28263
1,0,0,2,2,28239
1,0,0,3,3,28414
1,0,0,4,4,28457
1,0,0,5,5,28417
1,0,0,6,6,28267
1,0,0,7,7,27962
1,0,0,8,8,28354
1,0,0,9,9,28365
1,0,0,10,10,28516
1,0,0,11,11,28363
1,0,0,12,12,28404
1,0,0,13,13,28339
1,0,0,14,14,28451
1,0,0,15,15,28319
1,0,0,16,0,28317
1,0,0,17,1,28652
1,0,0,18,2,28304
1,0,0,19,3,28400
1,0,0,20,4,28403
1,0,0,21,5,28423
1,0,0,22,6,28348
1,0,0,23,7,28227
1,0,0,24,8,28482
1,0,0,25,9,28735
1,0,0,26,10,28573
1,0,0,27,11,28166
1,0,0,28,12,28201
1,0,0,29,13,28274
1,0,0,30,14,28257
1,0,0,31,15,28272
1,0,1,0,0,28257
1,0,1,1,1,28057
1,0,1,2,2,28345
1,0,1,3,3,28092
1,0,1,4,4,28233
1,0,1,5,5,28059
1,0,1,6,6,28197
1,0,1,7,7,28218
1,0,1,8,8,28117
1,0,1,9,9,28177
